sumid
111816
487752
218061
294580
405376
270524
140400
126777
183418
136493
277011
138766
317908
443023
112677
104500
101405
164393
162218
243835
104443
103028
165040
139272
191427
442304
292398
173270
350041
184210
339373
151106
164309
223167
195806
367579
182030
145632
182537
179903
346658
280010
140697
110451
118824
105823
103450
176662
119030
166193
296242
451550
179742
254311
138793
292459
317938
122849
104950
103427
101674
109234
132569
218414
421191
314409
101669
332857
285925
107415
101554
108785
180092
101299
134099
403256
186264
102031
187294
358015
176602
101521
179903
101135
102027
107980
103450
105823
102035
102997
101605
101657
101601
102364
153822
149172
152819
172421
101405
139272
279500
187801
195806
176662
106646
166193
407794
250382
111979
276342
278127
140652
235575
235575
132864
218469
218469
132864
132864
451355
166193
407794
250382
389256
200944
434386
139578
443472
235575
407794
218414
218414
218414
250382
111979
103353
170245
173270
333557
172421
104443
165040
440716
435405
457270
140463
145340
437853
151106
137407
223167
182030
145632
367579
365940
130743
104500
362565
354526
285966
112677
231304
183161
293742
443023
426666
424950
167108
191427
294390
103028
182059
162218
442304
241125
446523
288543
425809
188780
197940
435508
307328
104103
330277
346658
153251
230489
122849
183418
291464
136493
294580
405376
270524
422265
140400
142612
370758
185334
318338
142885
325896
259328
162368
328061
389182
170538
167202
370458
183013
314329
282645
187283
235668
328047
362219
367531
179903
443023
183161
325672
293742
461885
317908
180075
315458
450855
133557
264154
310676
164393
168778
101405
162218
172421
182059
283115
318580
156743
162193
243835
318054
104443
103028
186537
165040
274659
392510
130743
294390
425809
288543
442304
152819
446523
173270
170245
435405
440716
184210
188780
339373
151106
145340
164309
140463
137407
295756
157896
223167
182802
367579
329861
145632
182537
182030
332953
195723
145634
176117
141536
185334
318338
467133
142885
325896
259328
328061
389182
170538
167202
370458
183013
314329
282645
187283
235668
370758
328047
312540
358844
318167
474358
362219
367531
162185
162183
233831
371933
187696
250101
162583
480102
299799
322212
339373
350041
376641
435508
461885
152819
157896
180075
191427
292563
197940
318580
310676
186537
218381
324952
231304
188780
335950
183161
